id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Orchestral Dawn,Arcadia Strings,classical,cinematic,0.22,60,0.30,0.15,0.95
12,Thunder Forge,Iron Maw,metal,aggressive,0.95,170,0.12,0.35,0.02
13,Island Breeze,Calypso Wave,reggae,laidback,0.48,88,0.75,0.67,0.45
14,City Rhymes,Neon Cipher,hip hop,confident,0.70,95,0.68,0.82,0.12
15,Country Roads,Maple & Son,country,nostalgic,0.55,100,0.72,0.60,0.81
16,Smoky Blues,Blue Lantern,blues,sultry,0.45,82,0.40,0.50,0.65
17,Pulse Circuit,Electro Kart,electronic,euphoric,0.88,128,0.90,0.91,0.10
18,Autumn Walk,Willow Folk,folk,contemplative,0.33,76,0.58,0.42,0.92
